,Matchid,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22,,Runs_1,Over_1
195,1085967,PG Raut,S Mandhana,M Raj,H Kaur,S Verma,J Goswami,S Pandey,DB Sharma,V Krishnamurthy,E Bisht,Poonam Yadav,NE Bolton,BL Mooney,MM Lanning,EA Perry,ML Schutt,A Gardner,JL Jonassen,KM Beams,EJ Villani,-,-,,-,-
196,1085968,L Winfield,TT Beaumont,SJ Taylor,HC Knight,NR Sciver,FC Wilson,KH Brunt,JL Gunn,LA Marsh,A Shrubsole,A Hartley,SW Bates,RH Priest,AE Satterthwaite,KJ Martin,SFM Devine,KT Perkins,EM Bermingham,LM Kasperek,LMM Tahuhu,HR Huddleston,AC Kerr,,-,-
197,1085969,BL Mooney,NE Bolton,RL Haynes,EA Perry,EJ Villani,AJ Blackwell,AJ Healy,A Gardner,JL Jonassen,ML Schutt,KM Beams,L Wolvaardt,L Lee,T Chetty,M du Preez,M Kapp,S Luus,D van Niekerk,S Ismail,A Khaka,M Klaas,M Daniels,,-,-
198,1085970,L Winfield,TT Beaumont,SJ Taylor,HC Knight,NR Sciver,FC Wilson,KH Brunt,JL Gunn,LA Marsh,A Shrubsole,A Hartley,HK Matthews,Kycia A Knight,SR Taylor,CN Nation,DJS Dottin,MR Aguilleira,ASS Fletcher,Kyshona A Knight,AK Peters,A Mohammed,Q Joseph,,-,-
199,1085971,S Mandhana,PG Raut,M Raj,H Kaur,DB Sharma,V Krishnamurthy,S Pandey,S Verma,J Goswami,RS Gayakwad,Poonam Yadav,SW Bates,RH Priest,AE Satterthwaite,KJ Martin,SFM Devine,KT Perkins,ML Green,HM Rowe,AC Kerr,LMM Tahuhu,LM Kasperek,,-,-
200,1085972,MDN Hansika,GWHM Perera,AC Jayangani,HASD Siriwardene,MADD Surangika,PM Weerakkody,LE Kaushalya,KADA Kanchana,SS Weerakkody,HHC Gunaratne,I Ranaweera,Ayesha Zafar,Nahida Khan,Javeria Khan,Nain Abidi,Iram Javed,Sana Mir,Kainat Imtiaz,Asmavia Iqbal,Sidra Nawaz,Diana Baig,Sadia Yousuf,,-,-
201,1089136,AR Patwa,S Khalifa,Jitin Singh,HH Abdallah,KN Mussa,SJ Ally,A Dagar,RK Kiseto,HA Chohan,AM Kimote,N Mapunda,Sulaimon Runsewe,O Olaleye,AJ Ayannaike,Azeez Salako,Muhammad Hashim,OJ Bejide,CN Onwuzulike,OA Olympio,IO Okpe,JO Adedeji,CM Akachukwu,,-,-
202,1089137,F Baleri,S Ateak,JK Vifah,SK Awiah,JH Mensah,DNA Ankrah,PK Ananya,V Ateak,IKO Aboagye,G Bakiweyem,JO Adotei,J Bangura,G Ngegba,J Brewah,I Kamara,E Kamara,O Compagnie-Coker,L Lamin,Mohamed Khan,A Gbla,I Komba,M Mansaray,,-,-
203,1089138,R Mosweu,K Motlanka,K Modise,I Master,R Nehonde,T Perera,JWN Moses,A Rangaswamy,N Master,T Tshose,D Maisuria,H Patel,M Mvula,A Nsensha,J Chinunga,I Mwaba,SA Patel,Javid Patel,J Zimba,G Kandela,T Nyirongo,Gladson Kandela,,-,-
204,1089139,M Mvula,J Chinunga,A Nsensha,H Patel,G Kandela,I Mwaba,Javid Patel,SA Patel,J Zimba,Gladson Kandela,T Nyirongo,J Bangura,G Ngegba,E Kamara,J Brewah,I Kamara,L Lamin,Mohamed Khan,A Gbla,O Compagnie-Coker,I Komba,M Mansaray,,-,-
205,1089140,AJ Ayannaike,O Olaleye,U Friday,Azeez Salako,OJ Bejide,CN Onwuzulike,JO Adedeji,OA Olympio,IO Okpe,A Mene-Ejegi,AS Abioye,F Baleri,S Ateak,PK Ananya,SK Awiah,MK Anafie,JH Mensah,IKO Aboagye,DNA Ankrah,V Ateak,G Bakiweyem,-,,-,-
206,1089141,R Mosweu,K Motlanka,K Modise,I Master,R Nehonde,T Perera,A Rangaswamy,JWN Moses,N Master,T Tshose,D Maisuria,AR Patwa,S Khalifa,N Mapunda,Jitin Singh,HH Abdallah,KN Mussa,SJ Ally,A Dagar,RK Kiseto,HA Chohan,AM Kimote,,-,-
207,1089142,R Mosweu,K Motlanka,K Modise,I Master,R Nehonde,T Perera,JWN Moses,A Rangaswamy,N Master,T Tshose,D Maisuria,F Baleri,S Ateak,DNA Ankrah,SK Awiah,V Ateak,JH Mensah,MK Anafie,IKO Aboagye,G Bakiweyem,M Aboagye,-,,-,-
208,1089143,J Chinunga,M Mvula,H Patel,SA Patel,A Nsensha,I Mwaba,Javid Patel,G Kandela,J Zimba,T Nyirongo,Gladson Kandela,Jitin Singh,KD Kamania,AR Patwa,HH Abdallah,KN Mussa,SJ Ally,A Dagar,HA Chohan,RK Kiseto,AM Kimote,-,,-,-
209,1089144,Sulaimon Runsewe,O Olaleye,Azeez Salako,Muhammad Hashim,JO Adedeji,CN Onwuzulike,OJ Bejide,OA Olympio,IO Okpe,A Mene-Ejegi,AS Abioye,J Bangura,G Ngegba,Y Jalloh,J Brewah,A Gbla,I Kamara,L Lamin,Mohamed Khan,M Mansaray,I Komba,B Williams,,-,-
210,1089145,M Mvula,J Chinunga,H Patel,SA Patel,A Nsensha,I Mwaba,Javid Patel,G Kandela,Gladson Kandela,T Nyirongo,K Omala,Sulaimon Runsewe,CM Akachukwu,AJ Ayannaike,Azeez Salako,JO Adedeji,CN Onwuzulike,OJ Bejide,OA Olympio,IO Okpe,A Mene-Ejegi,AS Abioye,,14,4
211,1089146,J Bangura,G Ngegba,Y Jalloh,E Kamara,I Kamara,L Lamin,Mohamed Khan,M Mansaray,B Williams,A Gbla,I Komba,R Mosweu,K Motlanka,Z Abbasi,K Modise,JWN Moses,R Nehonde,T Perera,N Master,T Tshose,D Maisuria,M Mooketsi,,-,-
212,1089147,Jitin Singh,KD Kamania,AR Patwa,HH Abdallah,KN Mussa,SJ Ally,HA Chohan,RK Kiseto,A Dagar,N Mapunda,AA Premji,F Baleri,S Ateak,DNA Ankrah,SK Awiah,V Ateak,JH Mensah,IKO Aboagye,G Bakiweyem,KS Bagabena,M Aboagye,-,,-,-
213,1089148,Jitin Singh,KD Kamania,AR Patwa,KN Mussa,A Dagar,AD Kamania,HA Chohan,SJ Ally,AM Kimote,-,-,Y Jalloh,L Lamin,E Kamara,O Compagnie-Coker,Mohamed Khan,I Komba,G Ngegba,I Kamara,J Bangura,A Gbla,-,,5,1
214,1089150,J Chinunga,G Kandela,H Patel,SA Patel,I Mwaba,A Nsensha,J Zimba,Gladson Kandela,Javid Patel,T Nyirongo,K Omala,F Baleri,S Ateak,JK Vifah,V Ateak,G Bakiweyem,IKO Aboagye,DNA Ankrah,-,-,-,-,,-,-
215,1089183,Rohan Mustafa,Mohammed Qasim,Shaiman Anwar,Rameez Shahzad,Muhammad Usman,Amjad Javed,Ghulam Shabber,Mohammad Naveed,Adnan Mufti,Ahmed Raza,Imran Haider,TP Ura,VV Morea,L Siaka,A Vala,D Bau,S Bau,MD Dai,JNT Vare,JB Reva,N Vanua,A Nao,,25,8.2
216,1089419,MH Cross,KJ Coetzer,CS MacLeod,RD Berrington,PL Mommsen,CD Wallace,MA Leask,SM Sharif,AC Evans,CB Sole,CD de Lange,SF Mire,H Masakadza,CR Ervine,SC Williams,Sikandar Raza,RP Burl,MN Waller,PJ Moor,AG Cremer,TL Chatara,R Ngarava,,-,-
217,1089420,MH Cross,KJ Coetzer,CS MacLeod,RD Berrington,PL Mommsen,CD de Lange,CD Wallace,MA Leask,JH Davey,AC Evans,CB Sole,SF Mire,H Masakadza,CR Ervine,SC Williams,Sikandar Raza,RP Burl,TL Chatara,CB Mpofu,AG Cremer,-,-,,-,-
218,1089472,Iman-ul-Haq,Qalandar Khan,Mohammad Rizlan,Tamoor Sajjad,Nouman Sarwar,Kamran Khan (2),Mohammed Awais,Zaheer Ibrahim,Mohammed Nadeem,Iqbal Hussain,-,Usman Waheed,Mohammed Irfan,Aamir Javed,Mohammad Amin,Ali Zaheer,Adnan Idrees,Mohammed Ghulam,Imran Ali,Haroon Shahid,Abdullah Ghulam,Fiaz Ahmad,,26,8
219,1089490,Imran Ali Butt,Mohammed Sameer,J Chaturanga,Azeem ul Haq,GSPR Arachchige,Muhammad Rafeh,Tahir Dar,Muhammad Safdar,Junaid Aziz,Bilal Mansoor,Babar Ali,Kumar Subba,T Wangchuk,K Norbu,T Jamtsho,S Tobgay,S Pradhan,DS Gurung,R Pradhan,K Ghalley,Tenzin Wangchuk jnr,T Singye,,-,-
220,1089520,M Mupachikwa,L Tshuma,CS Mugeri,M Musonda,P Mujaji,SM Mayers,P Marange,J Nkomo,T Granger,N Mutasa,N Sibanda,L Lee,L Wolvaardt,T Chetty,M du Preez,S Ismail,M Kapp,R Ntozakhe,M Daniels,-,-,-,,-,-
221,1089521,MV Waldron,L Paul,L Delany,GH Lewis,SM Kavanagh,J Gray,LC Boylan,Rachel Delaney,L Maritz,A Beggs,AJ Kenealy,DB Sharma,PG Raut,J Goswami,M Joshi,S Pandey,E Bisht,H Kaur,-,-,-,-,,-,-
222,1089522,L Lee,L Wolvaardt,T Chetty,M du Preez,M Kapp,S Luus,N de Klerk,S Ismail,M Klaas,M Daniels,R Ntozakhe,DB Sharma,MR Meshram,PG Raut,M Raj,H Kaur,J Goswami,S Pandey,E Bisht,Poonam Yadav,-,-,,-,-
223,1089523,MV Waldron,L Delany,L Paul,GH Lewis,SM Kavanagh,J Gray,LC Boylan,Rachel Delaney,AJ Kenealy,L Maritz,A Beggs,L Tshuma,CS Mugeri,AC Mushangwe,SM Mayers,M Mupachikwa,M Musonda,J Nkomo,E Mbofana,T Granger,P Marange,-,,-,-
224,1089524,L Lee,L Wolvaardt,T Chetty,M du Preez,M Kapp,S Luus,N de Klerk,S Ismail,M Daniels,M Klaas,R Ntozakhe,MV Waldron,L Paul,L Delany,GH Lewis,J Gray,R Stokell,Rachel Delaney,L Maritz,L Little,A Beggs,SM Kavanagh,,-,-
225,1089525,L Tshuma,CS Mugeri,M Mupachikwa,SM Mayers,M Musonda,P Mujaji,P Marange,J Nkomo,T Granger,N Mutasa,N Sibanda,V Krishnamurthy,MR Meshram,H Kaur,S Pandey,M Joshi,DB Sharma,RS Gayakwad,Poonam Yadav,-,-,-,,-,-
226,1089526,L Tshuma,CS Mugeri,M Mupachikwa,SM Mayers,M Musonda,P Mujaji,P Marange,J Nkomo,T Granger,N Mutasa,N Sibanda,L Lee,A Steyn,T Chetty,M du Preez,M Kapp,S Ismail,M Daniels,S Luus,M Klaas,R Ntozakhe,-,,-,-
227,1089528,L Lee,T Chetty,A Steyn,CL Tryon,M du Preez,S Luus,M Kapp,S Ismail,M Daniels,M Klaas,R Ntozakhe,DB Sharma,PG Raut,M Raj,H Kaur,V Krishnamurthy,MR Meshram,S Pandey,J Goswami,E Bisht,S Verma,RS Gayakwad,,-,-
228,1089529,MV Waldron,L Paul,GH Lewis,SM Kavanagh,L Delany,J Gray,Rachel Delaney,AJ Kenealy,L Little,L Maritz,A Beggs,L Tshuma,CS Mugeri,M Mupachikwa,AC Mushangwe,M Musonda,E Mbofana,P Mujaji,J Nkomo,T Granger,P Marange,-,,-,-
229,1089531,L Tshuma,CS Mugeri,P Marange,M Mupachikwa,AC Mushangwe,SM Mayers,P Mujaji,J Nkomo,T Granger,N Mutasa,E Mbofana,V Krishnamurthy,H Kaur,J Goswami,S Pandey,E Bisht,DB Sharma,Poonam Yadav,-,-,-,-,,-,-
230,1089533,A Steyn,S Luus,T Chetty,M du Preez,M Kapp,N de Klerk,CL Tryon,S Ismail,A Khaka,M Klaas,R Ntozakhe,DB Sharma,PG Raut,MR Meshram,M Raj,J Goswami,S Pandey,E Bisht,Poonam Yadav,H Kaur,-,-,,-,-
231,1089779,Noor Ali Zadran,Javed Ahmadi,Rahmat Shah,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Afsar Zazai,Gulbadin Naib,Dawlat Zadran,Amir Hamza,Rashid Khan,E Lewis,KOA Powell,SD Hope,JN Mohammed,RL Chase,JL Carter,JO Holder,AR Nurse,AS Joseph,ML Cummins,ST Gabriel,,-,-
232,1089780,Noor Ali Zadran,Javed Ahmadi,Rahmat Shah,Samiullah Shenwari,Asghar Stanikzai,Mohammad Nabi,Afsar Zazai,Gulbadin Naib,Rashid Khan,Dawlat Zadran,Amir Hamza,E Lewis,KOA Powell,SD Hope,JL Carter,JN Mohammed,RL Chase,R Powell,JO Holder,ST Gabriel,AS Joseph,AR Nurse,,-,-
233,1098207,AM Rahane,S Dhawan,V Kohli,HH Pandya,Yuvraj Singh,MS Dhoni,KM Jadhav,B Kumar,UT Yadav,R Ashwin,Kuldeep Yadav,KOA Powell,JN Mohammed,SD Hope,E Lewis,JL Carter,JO Holder,RL Chase,AR Nurse,AS Joseph,D Bishoo,ML Cummins,,-,-
234,1098208,AM Rahane,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,B Kumar,UT Yadav,HH Pandya,Kuldeep Yadav,R Ashwin,E Lewis,KA Hope,SD Hope,RL Chase,JN Mohammed,JO Holder,R Powell,AR Nurse,D Bishoo,ML Cummins,KOK Williams,,-,-
235,1098209,E Lewis,KA Hope,SD Hope,RL Chase,JN Mohammed,JO Holder,R Powell,D Bishoo,AR Nurse,AS Joseph,KOK Williams,AM Rahane,S Dhawan,V Kohli,KD Karthik,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,Kuldeep Yadav,UT Yadav,Mohammed Shami,,-,-
236,1098210,E Lewis,KA Hope,SD Hope,RL Chase,JN Mohammed,JO Holder,R Powell,AR Nurse,D Bishoo,AS Joseph,KOK Williams,AM Rahane,S Dhawan,V Kohli,KD Karthik,Mohammed Shami,UT Yadav,HH Pandya,RA Jadeja,Kuldeep Yadav,KM Jadhav,-,,-,-
237,1104478,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,DAS Gunaratne,LD Madushanka,SL Malinga,N Pradeep,A Dananjaya,MA Aponso,H Masakadza,SF Mire,CR Ervine,SC Williams,Sikandar Raza,MN Waller,TL Chatara,DT Tiripano,AG Cremer,-,-,,-,-
238,1104479,H Masakadza,SF Mire,CR Ervine,SC Williams,Sikandar Raza,RP Burl,MN Waller,PJ Moor,AG Cremer,DT Tiripano,TL Chatara,N Dickwella,MD Gunathilaka,BKG Mendis,WU Tharanga,AD Mathews,SL Malinga,N Pradeep,PVD Chameera,PADLR Sandakan,DAS Gunaratne,PWH de Silva,,-,-
239,1104480,H Masakadza,SF Mire,TK Musakanda,CR Ervine,SC Williams,MN Waller,Sikandar Raza,PJ Moor,CT Mumba,AG Cremer,TL Chatara,N Dickwella,MD Gunathilaka,WU Tharanga,BKG Mendis,SL Malinga,N Pradeep,PVD Chameera,PADLR Sandakan,PWH de Silva,DAS Gunaratne,-,,-,-
240,1104481,N Dickwella,MD Gunathilaka,AD Mathews,WU Tharanga,DAS Gunaratne,BKG Mendis,PWH de Silva,SL Malinga,AM Fernando,PVD Chameera,PADLR Sandakan,H Masakadza,SF Mire,TK Musakanda,CR Ervine,SC Williams,Sikandar Raza,MN Waller,PJ Moor,CB Mpofu,TL Chatara,AG Cremer,,-,-
241,1104482,N Dickwella,BKG Mendis,MD Gunathilaka,WU Tharanga,AD Mathews,DAS Gunaratne,PWH de Silva,KMDN Kulasekara,A Dananjaya,PVD Chameera,SL Malinga,H Masakadza,SF Mire,TK Musakanda,CR Ervine,SC Williams,Sikandar Raza,MN Waller,PJ Moor,AG Cremer,TL Chatara,CB Mpofu,,-,-
242,1114859,AT Carey,J Weatherald,TM Head,CA Ingram,JW Wells,JS Lehmann,JR Dean,Rashid Khan,B Stanlake,PM Siddle,B Laughlin,JC Buttler,KR Patterson,SR Watson,RJ Gibson,BJ Rohrer,AJ Nair,AC Blizzard,CJ Green,MJ McClenaghan,Fawad Ahmed,AL Fekete,,-,-
243,1114868,AJ Doolan,DJM Short,MS Wade,BR McDermott,DT Christian,CA Rose,TS Mills,JC Archer,CJ Boyce,-,-,KR Patterson,JC Buttler,SR Watson,CJ Ferguson,BJ Rohrer,AJ Nair,RJ Gibson,CJ Green,GS Sandhu,MJ McClenaghan,Fawad Ahmed,,-,-
244,1114875,AT Carey,J Weatherald,TM Head,CA Ingram,JW Wells,MG Neser,JS Lehmann,Rashid Khan,PM Siddle,B Stanlake,B Laughlin,KR Patterson,JC Buttler,SR Watson,CJ Ferguson,AJ Nair,BJ Rohrer,CJ Green,RJ Gibson,GS Sandhu,MJ McClenaghan,Fawad Ahmed,,-,-
245,1114877,MS Harris,AJ Finch,CL White,TLW Cooper,DJ Bravo,Mohammad Nabi,KW Richardson,JD Wildermuth,GB Hogg,-,-,DJ Willey,M Klinger,HWR Cartwright,AJ Turner,AC Agar,AC Voges,TH David,MG Johnson,JA Richardson,AJ Tye,-,,-,-
246,1114881,PSP Handscomb,BR Dunk,KP Pietersen,GJ Maxwell,SE Gotch,JP Faulkner,DJ Worrall,JR Coleman,D Fallins,JW Hastings,EP Gulbis,TP Ludeman,MS Harris,MW Short,DJ Bravo,TLW Cooper,Mohammad Nabi,BJ Webster,JD Wildermuth,KW Richardson,JM Holland,GB Hogg,,-,-
247,1114890,AT Carey,J Weatherald,TM Head,CA Ingram,JW Wells,JS Lehmann,MG Neser,B Stanlake,PM Siddle,B Laughlin,Rashid Khan,MS Harris,TP Ludeman,CL White,TLW Cooper,KA Pollard,DJ Bravo,BJ Hodge,JD Wildermuth,CP Tremain,KW Richardson,GB Hogg,,-,-
248,1114892,MS Harris,MW Short,TLW Cooper,DJ Bravo,KA Pollard,JD Wildermuth,TP Ludeman,BJ Webster,CP Tremain,KW Richardson,JM Holland,JM Vince,KR Patterson,SR Watson,JS Lenton,AJ Nair,BJ Rohrer,AC Blizzard,CJ Green,GS Sandhu,MJ McClenaghan,Fawad Ahmed,,-,-
249,1114894,MS Wade,DJM Short,GJ Bailey,BR McDermott,DT Christian,S Milenko,NJ Reardon,JC Archer,CJ Boyce,CA Rose,TS Mills,PSP Handscomb,BR Dunk,JP Faulkner,RJ Quiney,KP Pietersen,JW Hastings,SE Gotch,EP Gulbis,DJ Worrall,JR Coleman,L Bowe,,-,-
250,1136567,RG Sharma,E Lewis,Ishan Kishan,SA Yadav,KH Pandya,KA Pollard,BCJ Cutting,PJ Sangwan,JJ Bumrah,M Markande,Mustafizur Rahman,WP Saha,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,DJ Hooda,YK Pathan,Rashid Khan,S Kaul,Sandeep Sharma,B Stanlake,,-,-
251,1136571,AM Rahane,DJM Short,SV Samson,BA Stokes,JC Buttler,RA Tripathi,K Gowtham,DS Kulkarni,JD Unadkat,S Gopal,B Laughlin,BB McCullum,V Kohli,Q de Kock,AB de Villiers,Mandeep Singh,P Negi,Washington Sundar,CR Woakes,UT Yadav,YS Chahal,K Khejroliya,,-,-
252,1136574,SA Yadav,Ishan Kishan,RG Sharma,E Lewis,KH Pandya,KA Pollard,HH Pandya,MJ McClenaghan,JJ Bumrah,Mustafizur Rahman,M Markande,V Kohli,Q de Kock,AB de Villiers,Mandeep Singh,CJ Anderson,Washington Sundar,SN Khan,CR Woakes,UT Yadav,Mohammed Siraj,YS Chahal,,-,-
253,1136575,AM Rahane,DJM Short,SV Samson,RA Tripathi,BA Stokes,JC Buttler,K Gowtham,S Gopal,DS Kulkarni,JD Unadkat,B Laughlin,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,PP Chawla,Kuldeep Yadav,Shivam Mavi,TK Curran,-,-,,-,-
254,1136577,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DL Chahar,SN Thakur,Imran Tahir,KV Sharma,AM Rahane,H Klaasen,SV Samson,BA Stokes,JC Buttler,RA Tripathi,STR Binny,K Gowtham,S Gopal,JD Unadkat,B Laughlin,,12,3
255,1136578,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav,KL Rahul,CH Gayle,MA Agarwal,AS Rajpoot,Mujeeb Ur Rahman,BB Sran,AJ Tye,R Ashwin,Yuvraj Singh,-,-,,-,-
256,1136581,SA Yadav,E Lewis,Ishan Kishan,KA Pollard,RG Sharma,KH Pandya,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman,AM Rahane,RA Tripathi,SV Samson,BA Stokes,JC Buttler,JC Archer,H Klaasen,K Gowtham,JD Unadkat,DS Kulkarni,S Gopal,,-,-
257,1136582,KL Rahul,AJ Finch,MA Agarwal,KK Nair,Yuvraj Singh,DA Miller,R Ashwin,AJ Tye,BB Sran,AS Rajpoot,Mujeeb Ur Rahman,PP Shaw,G Gambhir,GJ Maxwell,RR Pant,SS Iyer,DT Christian,R Tewatia,LE Plunkett,A Mishra,TA Boult,Avesh Khan,,-,-
258,1136584,Q de Kock,V Kohli,AB de Villiers,CJ Anderson,Mandeep Singh,C de Grandhomme,P Negi,Washington Sundar,UT Yadav,Mohammed Siraj,YS Chahal,SR Watson,AT Rayudu,SK Raina,SW Billings,RA Jadeja,MS Dhoni,DJ Bravo,DL Chahar,SN Thakur,Harbhajan Singh,Imran Tahir,,-,-
259,1136586,PP Shaw,C Munro,SS Iyer,RR Pant,GJ Maxwell,V Shankar,TA Boult,Avesh Khan,LE Plunkett,A Mishra,R Tewatia,CA Lynn,SP Narine,RV Uthappa,N Rana,KD Karthik,Shubman Gill,AD Russell,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav,,-,-
260,1136591,M Vohra,Q de Kock,BB McCullum,V Kohli,Mandeep Singh,Washington Sundar,C de Grandhomme,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal,SA Yadav,Ishan Kishan,JP Duminy,RG Sharma,KA Pollard,HH Pandya,KH Pandya,BCJ Cutting,MJ McClenaghan,JJ Bumrah,M Markande,,-,-
261,1136594,KL Rahul,CH Gayle,Yuvraj Singh,KK Nair,AR Patel,MP Stoinis,MA Agarwal,R Ashwin,AS Rajpoot,AJ Tye,Mujeeb Ur Rahman,SA Yadav,E Lewis,Ishan Kishan,HH Pandya,RG Sharma,KH Pandya,MJ McClenaghan,JJ Bumrah,M Markande,JP Duminy,BCJ Cutting,,-,-
262,1136597,SA Yadav,E Lewis,RG Sharma,HH Pandya,KH Pandya,JP Duminy,MJ McClenaghan,JJ Bumrah,M Markande,BCJ Cutting,-,CA Lynn,Shubman Gill,RV Uthappa,N Rana,KD Karthik,AD Russell,SP Narine,PP Chawla,M Prasidh Krishna,MG Johnson,Kuldeep Yadav,,-,-
263,1136610,SA Yadav,E Lewis,Ishan Kishan,KH Pandya,RG Sharma,KA Pollard,HH Pandya,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah,KL Rahul,CH Gayle,AJ Finch,MP Stoinis,AR Patel,Yuvraj Singh,MK Tiwary,AS Rajpoot,MM Sharma,AJ Tye,R Ashwin,,-,-
264,1136615,PP Shaw,GJ Maxwell,SS Iyer,RR Pant,V Shankar,Abhishek Sharma,S Lamichhane,TA Boult,HV Patel,LE Plunkett,A Mishra,SA Yadav,E Lewis,Ishan Kishan,KA Pollard,KH Pandya,HH Pandya,RG Sharma,BCJ Cutting,M Markande,JJ Bumrah,Mustafizur Rahman,,-,-
265,1136617,S Dhawan,KS Williamson,SP Goswami,MK Pandey,Shakib Al Hasan,YK Pathan,CR Brathwaite,B Kumar,Sandeep Sharma,S Kaul,Rashid Khan,SR Watson,SK Raina,F du Plessis,AT Rayudu,MS Dhoni,DJ Bravo,RA Jadeja,DL Chahar,Harbhajan Singh,SN Thakur,L Ngidi,,-,-
266,1136618,SP Narine,RV Uthappa,CA Lynn,N Rana,KD Karthik,Shubman Gill,AD Russell,JPR Scantlebury-Searles,PP Chawla,M Prasidh Krishna,Kuldeep Yadav,AM Rahane,RA Tripathi,SV Samson,H Klaasen,STR Binny,K Gowtham,JC Archer,JD Unadkat,IS Sodhi,S Gopal,B Laughlin,,38,4
267,1136619,WP Saha,S Dhawan,KS Williamson,Shakib Al Hasan,DJ Hooda,YK Pathan,CR Brathwaite,Rashid Khan,B Kumar,KK Ahmed,S Kaul,CA Lynn,SP Narine,N Rana,RV Uthappa,KD Karthik,AD Russell,Shubman Gill,PP Chawla,Shivam Mavi,Kuldeep Yadav,M Prasidh Krishna,,-,-
268,1136620,SP Goswami,S Dhawan,KS Williamson,Shakib Al Hasan,YK Pathan,DJ Hooda,CR Brathwaite,B Kumar,Sandeep Sharma,S Kaul,Rashid Khan,SR Watson,F du Plessis,SK Raina,AT Rayudu,DL Chahar,L Ngidi,SN Thakur,KV Sharma,DJ Bravo,RA Jadeja,-,,-,-
269,1144483,JJ Roy,JM Bairstow,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,LE Plunkett,JC Archer,AU Rashid,Q de Kock,HM Amla,AK Markram,F du Plessis,HE van der Dussen,JP Duminy,D Pretorius,AL Phehlukwayo,K Rabada,L Ngidi,Imran Tahir,,-,-
270,1144484,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Haris Sohail,Sarfraz Ahmed,Mohammad Hafeez,Imad Wasim,Shadab Khan,Hasan Ali,Wahab Riaz,Mohammad Amir,CH Gayle,SD Hope,DM Bravo,N Pooran,SO Hetmyer,SS Cottrell,JO Holder,AD Russell,CR Brathwaite,O Thomas,-,,-,-
271,1144485,HDRL Thirimanne,MDKJ Perera,FDM Karunaratne,BKG Mendis,DM de Silva,AD Mathews,BMAJ Mendis,NLTC Perera,I Udana,RAS Lakmal,SL Malinga,MJ Guptill,C Munro,MJ Henry,TA Boult,LH Ferguson,C de Grandhomme,JDS Neesham,MJ Santner,-,-,-,,-,-
272,1144486,Mohammad Shahzad,Rahmat Shah,Hazratullah,Hashmatullah Shahidi,Mohammad Nabi,Gulbadin Naib,Najibullah Zadran,Rashid Khan,Dawlat Zadran,Mujeeb Ur Rahman,Hamid Hassan,AJ Finch,DA Warner,UT Khawaja,SPD Smith,GJ Maxwell,MA Starc,PJ Cummins,NM Coulter-Nile,MP Stoinis,A Zampa,-,,-,-
273,1144487,Tamim Iqbal,Soumya Sarkar,Shakib Al Hasan,Mushfiqur Rahim,Mohammad Mithun,Mahmudullah,Mosaddek Hossain,Mehedi Hasan Miraz,Mustafizur Rahman,Mohammad Saifuddin,Mashrafe Mortaza,Q de Kock,AK Markram,F du Plessis,DA Miller,HE van der Dussen,JP Duminy,AL Phehlukwayo,CH Morris,K Rabada,Imran Tahir,L Ngidi,,-,-
274,1144488,Imam-ul-Haq,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Sarfraz Ahmed,Asif Ali,Shoaib Malik,Wahab Riaz,Hasan Ali,Shadab Khan,Mohammad Amir,JJ Roy,JM Bairstow,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,JC Archer,AU Rashid,MA Wood,,-,-
275,1144489,FDM Karunaratne,MDKJ Perera,HDRL Thirimanne,BKG Mendis,AD Mathews,DM de Silva,NLTC Perera,I Udana,RAS Lakmal,SL Malinga,N Pradeep,Mohammad Shahzad,Hazratullah,Rahmat Shah,Hashmatullah Shahidi,Mohammad Nabi,Gulbadin Naib,Najibullah Zadran,Rashid Khan,Dawlat Zadran,Hamid Hassan,Mujeeb Ur Rahman,,-,-
