,Matchid,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22,,Runs_1,Over_1
17,1020039,MJ Guptill,DG Brownlie,KS Williamson,L Ronchi,LRPL Taylor,JDS Neesham,MJ Santner,C de Grandhomme,TG Southee,JS Patel,TA Boult,Q de Kock,HM Amla,F du Plessis,JP Duminy,AB de Villiers,DA Miller,K Rabada,CH Morris,Imran Tahir,AL Phehlukwayo,D Pretorius,,-,-
18,1022347,Tamim Iqbal,Soumya Sarkar,Imrul Kayes,Mushfiqur Rahim,Shakib Al Hasan,Sabbir Rahman,Mahmudullah,Mosaddek Hossain,Mashrafe Mortaza,Mustafizur Rahman,Rubel Hossain,JJ Roy,AD Hales,JE Root,EJG Morgan,CR Woakes,MA Wood,JT Ball,BA Stokes,LE Plunkett,MM Ali,-,,-,-
19,1022349,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,AF Milne,MJ Santner,TA Boult,TG Southee,DA Warner,AJ Finch,SPD Smith,MC Henriques,MA Starc,JR Hazlewood,PJ Cummins,JW Hastings,TM Head,-,-,,-,-
20,1022351,HM Amla,Q de Kock,F du Plessis,AB de Villiers,DA Miller,JP Duminy,CH Morris,WD Parnell,K Rabada,M Morkel,Imran Tahir,N Dickwella,WU Tharanga,BKG Mendis,LD Chandimal,CK Kapugedera,MDKJ Perera,DAS Gunaratne,S Prasanna,RAS Lakmal,SL Malinga,N Pradeep,,-,-
21,1022353,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,HH Pandya,B Kumar,UT Yadav,JJ Bumrah,RA Jadeja,-,-,Azhar Ali,Ahmed Shehzad,Babar Azam,Mohammad Hafeez,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Shadab Khan,Mohammad Amir,Hasan Ali,Wahab Riaz,,-,-
22,1022355,Tamim Iqbal,Soumya Sarkar,Imrul Kayes,Mushfiqur Rahim,Shakib Al Hasan,Sabbir Rahman,Mahmudullah,Mehedi Hasan Miraz,Mashrafe Mortaza,Rubel Hossain,Mustafizur Rahman,DA Warner,AJ Finch,SPD Smith,MA Starc,JR Hazlewood,PJ Cummins,TM Head,MC Henriques,A Zampa,GJ Maxwell,-,,-,-
23,1022357,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,AU Rashid,LE Plunkett,MA Wood,JT Ball,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,MJ Santner,AF Milne,TG Southee,TA Boult,,-,-
24,1022359,Q de Kock,HM Amla,F du Plessis,AB de Villiers,DA Miller,JP Duminy,WD Parnell,CH Morris,K Rabada,M Morkel,Imran Tahir,Azhar Ali,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Shoaib Malik,Mohammad Amir,Junaid Khan,Imad Wasim,Hasan Ali,Shadab Khan,-,,-,-
25,1022361,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,HH Pandya,KM Jadhav,RA Jadeja,B Kumar,UT Yadav,JJ Bumrah,N Dickwella,MD Gunathilaka,BKG Mendis,MDKJ Perera,AD Mathews,DAS Gunaratne,SL Malinga,RAS Lakmal,N Pradeep,NLTC Perera,-,,-,-
26,1022363,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,MJ Santner,AF Milne,TG Southee,TA Boult,Tamim Iqbal,Sabbir Rahman,Soumya Sarkar,Mushfiqur Rahim,Shakib Al Hasan,Mahmudullah,Mosaddek Hossain,Mashrafe Mortaza,Mustafizur Rahman,Taskin Ahmed,Rubel Hossain,,-,-
27,1022365,DA Warner,AJ Finch,SPD Smith,MC Henriques,TM Head,GJ Maxwell,MS Wade,MA Starc,PJ Cummins,A Zampa,JR Hazlewood,JJ Roy,JE Root,AD Hales,EJG Morgan,BA Stokes,JC Buttler,JT Ball,MA Wood,LE Plunkett,AU Rashid,MM Ali,,-,-
28,1022367,Q de Kock,HM Amla,F du Plessis,AB de Villiers,DA Miller,JP Duminy,CH Morris,AL Phehlukwayo,K Rabada,M Morkel,Imran Tahir,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,B Kumar,JJ Bumrah,R Ashwin,HH Pandya,RA Jadeja,-,-,,-,-
29,1022369,N Dickwella,MD Gunathilaka,BKG Mendis,LD Chandimal,AD Mathews,DM de Silva,DAS Gunaratne,NLTC Perera,RAS Lakmal,SL Malinga,N Pradeep,Azhar Ali,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Fahim Ashraf,Mohammad Amir,Junaid Khan,Hasan Ali,,-,-
30,1022371,JM Bairstow,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,AU Rashid,LE Plunkett,MA Wood,JT Ball,Azhar Ali,Fakhar Zaman,Babar Azam,Mohammad Hafeez,Junaid Khan,Rumman Raees,Imad Wasim,Shadab Khan,Hasan Ali,-,-,,-,-
31,1022375,Azhar Ali,Fakhar Zaman,Babar Azam,Shoaib Malik,Mohammad Hafeez,Imad Wasim,Mohammad Amir,Junaid Khan,Hasan Ali,Shadab Khan,-,RG Sharma,V Kohli,S Dhawan,Yuvraj Singh,MS Dhoni,HH Pandya,KM Jadhav,RA Jadeja,R Ashwin,B Kumar,JJ Bumrah,,-,-
32,1023583,JJ Peirson,BB McCullum,AI Ross,CA Lynn,BCJ Cutting,JA Burns,JS Floros,S Badree,MT Steketee,JD Wildermuth,MJ Swepson,J Weatherald,BR Dunk,TM Head,BJ Hodge,KA Pollard,JS Lehmann,CJ Jordan,MG Neser,KW Richardson,B Laughlin,LN O'Connor,,-,-
33,1023589,M Klinger,SM Whiteman,IR Bell,MR Marsh,DJ Willey,AJ Turner,AC Voges,AC Agar,JA Richardson,AJ Tye,MG Johnson,BR Dunk,TM Head,J Weatherald,BJ Hodge,KA Pollard,JS Lehmann,CJ Jordan,MG Neser,KW Richardson,LN O'Connor,B Stanlake,,-,-
34,1023595,KR Patterson,RJ Gibson,SR Watson,EJG Morgan,AD Russell,BJ Rohrer,PJ Cummins,CJ Green,CJ McKay,Fawad Ahmed,-,JJ Peirson,CA Lynn,BB McCullum,AI Ross,JA Burns,BCJ Cutting,JS Floros,JD Wildermuth,MT Steketee,S Badree,MJ Swepson,,-,-
35,1023599,DJM Short,TD Paine,KC Sangakkara,GJ Bailey,DT Christian,JW Wells,HP Kingston,CJ Boyce,CA Rose,SCJ Broad,SW Tait,JJ Peirson,BB McCullum,CA Lynn,AI Ross,JA Burns,S Badree,MT Steketee,JS Floros,JD Wildermuth,BCJ Cutting,MJ Swepson,,35,2.2
36,1023611,GJ Maxwell,LJ Wright,KP Pietersen,DJ Hussey,JP Faulkner,MP Stoinis,SB Harper,A Zampa,BW Hilfenhaus,SM Boland,MA Beer,KR Patterson,AC Blizzard,SR Watson,EJG Morgan,BJ Rohrer,PJ Cummins,CJ Green,AD Russell,GS Sandhu,Fawad Ahmed,-,,15,1
37,1023629,DP Hughes,MJ Lumb,NJ Maddinson,MC Henriques,C Munro,BJ Haddin,SA Abbott,J Botha,BJ Dwarshuis,NM Lyon,JM Bird,KR Patterson,JM Vince,SR Watson,BJ Rohrer,CJ Green,CJ McKay,CR Brathwaite,Fawad Ahmed,AJ Nair,-,-,,-,-
38,1023635,RJ Quiney,KP Pietersen,SE Gotch,LJ Wright,MP Stoinis,DJ Hussey,EP Gulbis,BW Hilfenhaus,A Zampa,MA Beer,SM Boland,SD Heazlett,JJ Peirson,NJ Reardon,AI Ross,JA Burns,MT Steketee,TS Mills,JD Wildermuth,BCJ Cutting,MJ Swepson,M Labuschagne,,-,-
39,1023639,MS Harris,AJ Finch,CL White,TLW Cooper,CJ Ferguson,NLTC Perera,SP Narine,JL Pattinson,NJ Rimmington,GB Hogg,-,BB McCullum,JJ Peirson,SD Heazlett,AI Ross,JA Burns,BCJ Cutting,M Labuschagne,JD Wildermuth,ND Buchanan,MT Steketee,MJ Swepson,,-,-
40,1023649,DP Hughes,MJ Lumb,NJ Maddinson,MC Henriques,BJ Haddin,JC Silk,J Botha,SA Abbott,BJ Dwarshuis,NM Lyon,JM Bird,SM Whiteman,M Klinger,IR Bell,MG Johnson,AJ Turner,JA Richardson,AJ Tye,TT Bresnan,AC Agar,-,-,,-,-
41,1026847,C Carter,KD Shah,Nizakat Khan,Babar Hayat,Anshuman Rath,Shahid Wasif,Ehsan Khan,Tanwir Afzal,Aizaz Khan,Nadeem Ahmed,Tanveer Ahmed,TP Ura,VV Morea,L Siaka,A Vala,S Bau,MD Dai,D Bau,H Hiri,N Vanua,CA Soper,WT Gavera,,-,-
42,1026849,TP Ura,VV Morea,L Siaka,A Vala,S Bau,D Bau,MD Dai,H Hiri,JB Reva,CA Soper,N Vanua,JJ Atkinson,KD Shah,Babar Hayat,Nizakat Khan,Anshuman Rath,Shahid Wasif,Ehsan Khan,Tanwir Afzal,Aizaz Khan,K Christie,Nadeem Ahmed,,-,-
